layer,variant,windows,blocks,cores,tiles,latency_cycles,energy_pj,speedup_vs_fixed_adc,energy_efficiency_vs_fixed_adc,avg_core_latency_cycles,bottleneck_core_cycles,movement_cycles,utilization,rearrange_vectors,column_swaps,row_swaps,split_mvmus
vgg19_conv04_128x128,sparse_puma,256,36,9,3,2028512.0,94073036.80000001,1.0949030619488571,5.463472670630313,6910.666666666667,7444.0,448.0,0.9283539315780046,0,0,0,0
vgg19_conv05_128x256,sparse_puma,64,72,18,5,538336.0,47054028.800000004,1.089401414729834,5.461515694911121,6945.333333333333,7444.0,936.0,0.9330109260254343,0,0,0,0
vgg19_conv06_256x256,sparse_puma,64,144,36,9,603872.0,93845299.2,1.074611838270362,5.476845638316211,6942.666666666667,7524.0,1880.0,0.9227361332624491,0,0,0,0
vgg19_conv07_256x256,sparse_puma,64,144,36,9,602848.0,93941913.60000001,1.0764371781941717,5.471212985808283,6948.0,7476.0,1912.0,0.9293739967897271,0,0,0,0
vgg19_conv08_256x256,sparse_puma,64,144,36,9,602848.0,93716480.0,1.0764371781941717,5.484373907342656,6926.666666666667,7508.0,1880.0,0.9225714793109572,0,0,0,0
vgg19_conv01_3x64,col_exchange,1024,9,3,1,2215904.0,20265369.599999998,3.8392276921743904,25.360498019241646,1710.6666666666667,2052.0,80.0,0.8336582196231319,0,0,0,0
vgg19_conv02_64x64,col_exchange,1024,9,3,1,7819232.0,95830016.0,1.0880045508305676,5.363036416481449,6996.0,7524.0,80.0,0.9298245614035088,0,0,0,0
vgg19_conv03_64x128,col_exchange,256,18,5,2,1965024.0,46830489.6,1.1010959662579185,5.487508992432142,6525.6,7204.0,224.0,0.9058300943920045,18,74,0,0
vgg19_conv04_128x128,col_exchange,256,36,9,3,2081760.0,94202060.80000001,1.0668972407962494,5.455989616736705,6576.444444444444,7316.0,448.0,0.8989125812526578,28,113,0,0
vgg19_conv05_128x256,col_exchange,64,72,18,5,591072.0,47148492.800000004,0.9922039954523307,5.4505733171602015,6233.333333333333,7284.0,936.0,0.8557569101226432,82,302,0,0
vgg19_conv06_256x256,col_exchange,64,144,36,9,725728.0,94043443.2,0.8941752281846642,5.465306246889946,6207.555555555556,7332.0,1912.0,0.8466387828089956,172,621,0,0
vgg19_conv07_256x256,col_exchange,64,144,36,9,723168.0,94137753.60000001,0.8973405902916058,5.459830917401452,6208.444444444444,7316.0,1912.0,0.8486118704817447,170,605,0,0
