layer,variant,windows,blocks,cores,tiles,latency_cycles,energy_pj,speedup_vs_fixed_adc,energy_efficiency_vs_fixed_adc,avg_core_latency_cycles,bottleneck_core_cycles,movement_cycles,utilization,rearrange_vectors,column_swaps,row_swaps,split_mvmus
resnet50_s3_b4_conv2_3x3,puma_fixed_adc,784,36,9,3,6801952.0,1574019238.3999996,1.0,1.0,8196.0,8196.0,448.0,1.0,0,0,0,0
resnet50_s3_b4_conv3_1x1,puma_fixed_adc,784,16,4,1,6544800.0,699504870.3999999,1.0,1.0,8196.0,8196.0,120.0,1.0,0,0,0,0
resnet50_s4_b1_conv1_1x1,puma_fixed_adc,784,32,8,2,6720416.0,1399092844.7999997,1.0,1.0,8196.0,8196.0,344.0,1.0,0,0,0,0
resnet50_s4_b1_conv2_3x3,puma_fixed_adc,196,144,36,9,1987408.0,1574052166.3999996,1.0,1.0,8196.0,8196.0,1912.0,1.0,0,0,0,0
resnet50_s4_b1_conv3_1x1,puma_fixed_adc,196,64,16,4,1767888.0,699567198.3999999,1.0,1.0,8196.0,8196.0,792.0,1.0,0,0,0,0
resnet50_s4_b1_projection_1x1,puma_fixed_adc,196,128,32,8,1943504.0,1399155172.7999997,1.0,1.0,8196.0,8196.0,1688.0,1.0,0,0,0,0
resnet50_s4_b2_conv1_1x1,puma_fixed_adc,196,64,16,4,1767888.0,699567198.3999999,1.0,1.0,8196.0,8196.0,792.0,1.0,0,0,0,0
resnet50_s4_b2_conv2_3x3,puma_fixed_adc,196,144,36,9,1987408.0,1574052166.3999996,1.0,1.0,8196.0,8196.0,1912.0,1.0,0,0,0,0
resnet50_s4_b2_conv3_1x1,puma_fixed_adc,196,64,16,4,1767888.0,699567198.3999999,1.0,1.0,8196.0,8196.0,792.0,1.0,0,0,0,0
resnet50_s4_b3_conv1_1x1,puma_fixed_adc,196,64,16,4,1767888.0,699567198.3999999,1.0,1.0,8196.0,8196.0,792.0,1.0,0,0,0,0
resnet50_s4_b3_conv2_3x3,puma_fixed_adc,196,144,36,9,1987408.0,1574052166.3999996,1.0,1.0,8196.0,8196.0,1912.0,1.0,0,0,0,0
resnet50_s4_b3_conv3_1x1,puma_fixed_adc,196,64,16,4,1767888.0,699567198.3999999,1.0,1.0,8196.0,8196.0,792.0,1.0,0,0,0,0
resnet50_s4_b4_conv1_1x1,puma_fixed_adc,196,64,16,4,1767888.0,699567198.3999999,1.0,1.0,8196.0,8196.0,792.0,1.0,0,0,0,0
resnet50_s4_b4_conv2_3x3,puma_fixed_adc,196,144,36,9,1987408.0,1574052166.3999996,1.0,1.0,8196.0,8196.0,1912.0,1.0,0,0,0,0
resnet50_s4_b4_conv3_1x1,puma_fixed_adc,196,64,16,4,1767888.0,699567198.3999999,1.0,1.0,8196.0,8196.0,792.0,1.0,0,0,0,0
resnet50_s4_b5_conv1_1x1,puma_fixed_adc,196,64,16,4,1767888.0,699567198.3999999,1.0,1.0,8196.0,8196.0,792.0,1.0,0,0,0,0
resnet50_s4_b5_conv2_3x3,puma_fixed_adc,196,144,36,9,1987408.0,1574052166.3999996,1.0,1.0,8196.0,8196.0,1912.0,1.0,0,0,0,0
resnet50_s4_b5_conv3_1x1,puma_fixed_adc,196,64,16,4,1767888.0,699567198.3999999,1.0,1.0,8196.0,8196.0,792.0,1.0,0,0,0,0
resnet50_s4_b6_conv1_1x1,puma_fixed_adc,196,64,16,4,1767888.0,699567198.3999999,1.0,1.0,8196.0,8196.0,792.0,1.0,0,0,0,0
resnet50_s4_b6_conv2_3x3,puma_fixed_adc,196,144,36,9,1987408.0,1574052166.3999996,1.0,1.0,8196.0,8196.0,1912.0,1.0,0,0,0,0
resnet50_s4_b6_conv3_1x1,puma_fixed_adc,196,64,16,4,1767888.0,699567198.3999999,1.0,1.0,8196.0,8196.0,792.0,1.0,0,0,0,0
resnet50_s5_b1_conv1_1x1,puma_fixed_adc,196,128,32,8,1943504.0,1399155172.7999997,1.0,1.0,8196.0,8196.0,1688.0,1.0,0,0,0,0
resnet50_s5_b1_conv2_3x3,puma_fixed_adc,49,576,144,36,793180.0,1574067748.3999996,1.0,1.0,8196.0,8196.0,7960.0,1.0,0,0,0,0
resnet50_s5_b1_conv3_1x1,puma_fixed_adc,49,256,64,16,573660.0,699582780.3999999,1.0,1.0,8196.0,8196.0,3480.0,1.0,0,0,0,0
resnet50_s5_b1_projection_1x1,puma_fixed_adc,49,512,128,32,749276.0,1399170754.7999997,1.0,1.0,8196.0,8196.0,7064.0,1.0,0,0,0,0
resnet50_s5_b2_conv1_1x1,puma_fixed_adc,49,256,64,16,573660.0,699582780.3999999,1.0,1.0,8196.0,8196.0,3480.0,1.0,0,0,0,0
resnet50_s5_b2_conv2_3x3,puma_fixed_adc,49,576,144,36,793180.0,1574067748.3999996,1.0,1.0,8196.0,8196.0,7960.0,1.0,0,0,0,0
resnet50_s5_b2_conv3_1x1,puma_fixed_adc,49,256,64,16,573660.0,699582780.3999999,1.0,1.0,8196.0,8196.0,3480.0,1.0,0,0,0,0
resnet50_s5_b3_conv1_1x1,puma_fixed_adc,49,256,64,16,573660.0,699582780.3999999,1.0,1.0,8196.0,8196.0,3480.0,1.0,0,0,0,0
resnet50_s5_b3_conv2_3x3,puma_fixed_adc,49,576,144,36,793180.0,1574067748.3999996,1.0,1.0,8196.0,8196.0,7960.0,1.0,0,0,0,0
resnet50_s5_b3_conv3_1x1,puma_fixed_adc,49,256,64,16,573660.0,699582780.3999999,1.0,1.0,8196.0,8196.0,3480.0,1.0,0,0,0,0
resnet50_stem_7x7,sparse_puma,12544,49,13,4,40190944.0,1228594483.2,2.7777791932431346,27.901473104710092,1900.6153846153845,2500.0,672.0,0.7602461538461538,0,0,0,0
resnet50_s2_b1_conv1_1x1,sparse_puma,3136,1,1,1,23244000.0,39232614.400000006,1.1100918946824987,4.456580125335719,7380.0,7380.0,0.0,1.0,0,0,0,0
resnet50_s2_b1_conv2_3x3,sparse_puma,3136,9,3,1,23795936.0,293052928.0,1.0948867907528412,5.370841537539593,6985.333333333333,7476.0,80.0,0.9343677545924737,0,0,0,0
resnet50_s2_b1_conv3_1x1,sparse_puma,3136,4,1,1,23795936.0,151513958.40000004,1.0843438140025254,4.615899193615152,7556.0,7556.0,0.0,1.0,0,0,0,0
resnet50_s2_b1_projection_1x1,sparse_puma,3136,4,1,1,23294176.0,150874214.40000004,1.1077007403052161,4.635471748312213,7396.0,7396.0,0.0,1.0,0,0,0,0
resnet50_s2_b2_conv1_1x1,sparse_puma,3136,4,1,1,23745760.0,149338828.8,1.086635087695656,4.6831300608137605,7540.0,7540.0,0.0,1.0,0,0,0,0
